# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
苦	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
苫	《平水韵》去声部 二十九艳、下平声部 十四盐
苴	《平水韵》上声部 六语、上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第四部
苶	《平水韵》入声部 入声九屑、入声部 入声十六叶
茁	《平水韵》入声部 入声九屑、入声部 入声八黠、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
茄	《平水韵》下平声部 五歌、下平声部 六麻；《词林正韵》平声 第十部
茆	《平水韵》上声部 二十五有、上声部 十八巧；《词林正韵》仄声 第八部
茑	《平水韵》上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
茷	《平水韵》去声部 九泰、去声部 十一队
茸	《平水韵》上平声部 二冬、上声部 二肿；《词林正韵》平声 第一部
茹	《平水韵》去声部 六御、上声部 六语、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
荂	《平水韵》上平声部 七虞、下平声部 六麻
荄	《平水韵》上平声部 九佳、上平声部 十灰
荍	《平水韵》下平声部 二萧、下平声部 十一尤
荠	《平水韵》上声部 八荠、去声部 八霁、上平声部 四支；《词林正韵》仄声 第三部
荡	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
荥	《平水韵》下平声部 九青、下平声部 八庚
荩	《平水韵》上声部 十一轸、去声部 十二震
药	《平水韵》入声部 入声三觉、入声部 入声十药；《词林正韵》入声 第十六部
荷	《平水韵》上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
莚	《平水韵》下平声部 一先、去声部 十七霰
莛	《平水韵》下平声部 九青、上声部 二十四迥
莞	《平水韵》上声部 十五潸、上平声部 十四寒、上声部 十四旱；《词林正韵》仄声 第七部
莫	《平水韵》入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十六部
莳	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
获	《平水韵》去声部 七遇、入声部 入声十一陌、入声部 入声十药；《词林正韵》入声 第十七部、入声 第十六部
莹	《平水韵》下平声部 九青、去声部 二十五径、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
莽	《平水韵》上声部 七麌、上声部 二十二养、上声部 二十五有；《词林正韵》仄声 第二部、仄声 第四部
菀	《平水韵》入声部 入声五物、上声部 十三阮；《词林正韵》仄声 第七部
菌	《平水韵》上平声部 十一真、上声部 十一轸；《词林正韵》仄声 第六部、平声 第六部
菑	《平水韵》上平声部 十灰、上平声部 四支
菔	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十五部
菟	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部
菫	《平水韵》上声部 十二吻、上平声部 十二文
菲	《平水韵》上声部 五尾、上平声部 五微；《词林正韵》仄声 第三部、平声 第三部
萎	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
萐	《平水韵》入声部 入声十七洽、入声部 入声十六叶
萹	《平水韵》下平声部 一先、上声部 十六铣
葑	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》平声 第一部
著	《平水韵》入声部 入声十药、去声部 六御、上声部 六语；《词林正韵》入声 第十六部、仄声 第四部
葭	《平水韵》下平声部 六麻、去声部 十二震；《词林正韵》平声 第十部
葽	《平水韵》下平声部 二萧、去声部 十八啸
蒉	《平水韵》去声部 十卦、去声部 四寘；《词林正韵》仄声 第三部、仄声 第五部
蒋	《平水韵》下平声部 七阳、上声部 二十二养；《词林正韵》仄声 第二部
蒌	《平水韵》上平声部 七虞、上声部 七麌、下平声部 十一尤
蒘	《平水韵》上平声部 六鱼、下平声部 六麻
蒙	《平水韵》上平声部 一东、上声部 一董；《词林正韵》平声 第一部
蒟	《平水韵》去声部 七遇、上声部 七麌
蒫	《平水韵》下平声部 五歌、下平声部 六麻
蒲	《平水韵》上平声部 七虞、入声部 入声十药；《词林正韵》平声 第四部
蓰	《平水韵》上平声部 四支、上声部 四纸
蓷	《平水韵》上平声部 十灰、上平声部 四支
蓼	《平水韵》入声部 入声一屋、上声部 十七筱；《词林正韵》仄声 第八部
蔇	《平水韵》去声部 五未、去声部 四寘
蔑	《平水韵》入声部 入声九屑、去声部 十七霰
蔚	《平水韵》去声部 五未、入声部 入声五物；《词林正韵》仄声 第三部、入声 第十八部
蔟	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
蔪	《平水韵》上声部 二十八琰、下平声部 十四盐
蕈	《平水韵》去声部 二十七沁、上声部 二十六寝
蕰	《平水韵》上平声部 十三元、去声部 十三问
蕲	《平水韵》上平声部 十二文、上平声部 四支
蕴	《平水韵》上平声部 十三元、去声部 十三问、上声部 十二吻；《词林正韵》仄声 第六部
薏	《平水韵》去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
薙	《平水韵》去声部 八霁、去声部 四寘；《词林正韵》仄声 第三部
薜	《平水韵》入声部 入声十一陌、去声部 八霁；《词林正韵》仄声 第三部
薯	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部
藇	《平水韵》去声部 六御、上声部 六语、上平声部 六鱼
藉	《平水韵》去声部 二十二祃、入声部 入声十一陌；《词林正韵》入声 第十七部
藏	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
藐	《平水韵》入声部 入声三觉、上声部 十七筱；《词林正韵》仄声 第八部
藟	《平水韵》上平声部 四支、上声部 四纸
蘼	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》平声 第三部
虹	《平水韵》上平声部 一东、去声部 三绛；《词林正韵》平声 第一部
虺	《平水韵》上声部 五尾、上平声部 十灰；《词林正韵》仄声 第三部
蚁	《平水韵》上声部 五尾、上声部 四纸；《词林正韵》仄声 第三部
蚑	《平水韵》去声部 四寘、上平声部 四支
蚣	《平水韵》上平声部 一东、上平声部 二冬；《词林正韵》平声 第一部
蚬	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
蚴	《平水韵》上声部 二十五有、下平声部 十一尤
蚺	《平水韵》下平声部 十三覃、下平声部 十四盐
蛇	《平水韵》下平声部 六麻、上平声部 四支；《词林正韵》平声 第十部
蛙	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
蛣	《平水韵》入声部 入声九屑、入声部 入声四质
蛩	《平水韵》上平声部 二冬；《词林正韵》平声 第一部、平声 第二部
蛬	《平水韵》上平声部 二冬、上声部 二肿
蛭	《平水韵》入声部 入声九屑、入声部 入声四质
蛸	《平水韵》下平声部 三肴、下平声部 二萧
蜃	《平水韵》上声部 十一轸、去声部 十二震；《词林正韵》仄声 第六部
蜎	《平水韵》下平声部 一先、上声部 十六铣
蜒	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》平声 第七部
蜓	《平水韵》下平声部 九青、上声部 十六铣；《词林正韵》平声 第十一部
蜕	《平水韵》去声部 九泰、去声部 二十一个、入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部
蜗	《平水韵》上平声部 九佳、下平声部 六麻；《词林正韵》平声 第十部
蜚	《平水韵》上声部 五尾、去声部 五未；《词林正韵》仄声 第三部
蜡	《平水韵》去声部 二十二祃、入声部 入声十五合；《词林正韵》入声 第十九部
蜢	《平水韵》上声部 二十三梗、去声部 二十四敬；《词林正韵》仄声 第十一部
蜺	《词林正韵》入声 第十七部、入声 第十八部
蜼	《平水韵》去声部 二十六宥、去声部 四寘
蜿	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》仄声 第七部、平声 第七部
蝍	《平水韵》入声部 入声九屑、入声部 入声四质
蝎	《平水韵》入声部 入声七曷、入声部 入声六月；《词林正韵》入声 第十八部
蝓	《平水韵》上平声部 七虞、下平声部 十一尤
蝝	《平水韵》下平声部 一先、去声部 十七霰
蝥	《平水韵》下平声部 三肴、下平声部 十一尤；《词林正韵》平声 第八部
蝹	《平水韵》上声部 十九皓、上平声部 十二文
螉	《平水韵》上平声部 一东、上声部 一董
螣	《平水韵》上声部 二十六寝、入声部 入声十三职、下平声部 十蒸
蟉	《平水韵》上声部 二十五有、下平声部 十一尤
蟜	《平水韵》下平声部 二萧、上声部 十七筱
蟫	《平水韵》下平声部 十三覃、下平声部 十二侵；《词林正韵》平声 第十三部、平声 第十四部
蠓	《平水韵》上平声部 一东、上声部 一董；《词林正韵》仄声 第一部
蠙	《平水韵》下平声部 一先、上平声部 十一真
蠡	《平水韵》上声部 八荠、上平声部 八齐、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
蠢	《平水韵》去声部 三绛、去声部 二宋、上声部 十一轸；《词林正韵》仄声 第六部
行	《平水韵》下平声部 七阳、去声部 二十三漾、去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第二部、仄声 第十一部、平声 第十一部
衍	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
衎	《平水韵》去声部 十五翰、上声部 十四旱
衙	《平水韵》上声部 六语、上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第十部
衡	《平水韵》上平声部 二冬、下平声部 八庚；《词林正韵》平声 第十一部
衣	《平水韵》上平声部 五微、去声部 五未；《词林正韵》仄声 第三部、平声 第三部
衩	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》仄声 第十部
衱	《平水韵》入声部 入声十五合、入声部 入声十六叶
衷	《平水韵》上平声部 一东、去声部 一送；《词林正韵》平声 第一部
衽	《平水韵》去声部 二十七沁、上声部 二十六寝；《词林正韵》仄声 第十三部
袅	《平水韵》入声部 入声十药、上声部 十七筱；《词林正韵》仄声 第八部
袒	《平水韵》去声部 十六谏、上声部 十四旱；《词林正韵》仄声 第七部
袗	《平水韵》上平声部 十一真、上声部 十一轸、去声部 十二震
被	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
袷	《平水韵》入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
裁	《平水韵》去声部 十一队、上平声部 十灰；《词林正韵》平声 第五部
装	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
裋	《平水韵》去声部 七遇、上声部 十四旱
裎	《平水韵》上声部 二十三梗、下平声部 八庚
裛	《平水韵》入声部 入声十五合、入声部 入声十六叶、入声部 入声十四缉
裯	《平水韵》上平声部 七虞、下平声部 十一尤、下平声部 四豪
裹	《平水韵》去声部 二十一个、上声部 二十哿；《词林正韵》仄声 第九部
裼	《平水韵》入声部 入声十二锡、去声部 八霁；《词林正韵》入声 第十七部
褆	《平水韵》上平声部 八齐、上声部 四纸
褊	《平水韵》下平声部 一先、上声部 十六铣
褕	《平水韵》上平声部 七虞、下平声部 二萧
褛	《平水韵》上声部 七麌、下平声部 十一尤；《词林正韵》仄声 第四部
褫	《平水韵》上平声部 四支、上声部 四纸
褶	《平水韵》入声部 入声十六叶、入声部 入声十四缉；《词林正韵》入声 第十七部
襜	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
要	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
覃	《平水韵》下平声部 十三覃；《词林正韵》仄声 第十三部、平声 第十四部
覆	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部、入声 第十五部
覕	《平水韵》入声部 入声九屑、入声部 入声四质
观	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
视	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
觇	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
觉	《平水韵》入声部 入声三觉、去声部 十九效；《词林正韵》仄声 第八部、入声 第十六部
觎	《平水韵》上平声部 七虞、去声部 七遇
觖	《平水韵》入声部 入声九屑、去声部 四寘；《词林正韵》入声 第十八部
觜	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
解	《平水韵》上声部 九蟹、去声部 十卦；《词林正韵》仄声 第五部
觭	《平水韵》上平声部 四支、上声部 四纸
觯	《平水韵》去声部 四寘、上平声部 四支
觳	《平水韵》入声部 入声一屋、入声部 入声三觉
訚	《平水韵》上平声部 十一真、上平声部 十二文
訬	《平水韵》下平声部 三肴、上声部 十七筱、上声部 十八巧
訾	《平水韵》上平声部 四支、上声部 四纸
誉	《平水韵》去声部 六御、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
謞	《平水韵》入声部 入声三觉、入声部 入声十药
謦	《平水韵》去声部 二十五径、上声部 二十四迥；《词林正韵》仄声 第十一部
謵	《平水韵》入声部 入声十六叶、入声部 入声十四缉
謷	《平水韵》下平声部 三肴、下平声部 四豪
謼	《平水韵》上平声部 七虞、去声部 七遇
讦	《平水韵》入声部 入声九屑、入声部 入声六月
讪	《平水韵》上平声部 十五删、去声部 十六谏；《词林正韵》仄声 第七部、平声 第七部
讱	《平水韵》上声部 十一轸、去声部 十二震
讵	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
论	《平水韵》上平声部 十三元、去声部 十四愿；《词林正韵》仄声 第六部、平声 第六部
证	《平水韵》去声部 二十五径、去声部 二十四敬；《词林正韵》仄声 第十一部
诂	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
评	《平水韵》去声部 二十四敬、下平声部 八庚
诅	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
识	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
诇	《平水韵》去声部 二十四敬、上声部 二十四迥
诉	《平水韵》去声部 七遇、入声部 入声十一陌；《词林正韵》仄声 第四部
诊	《平水韵》上声部 十一轸、去声部 十二震；《词林正韵》仄声 第六部
诋	《平水韵》上声部 八荠、上平声部 八齐；《词林正韵》仄声 第三部
诎	《平水韵》入声部 入声五物、入声部 入声四质
诐	《平水韵》去声部 四寘、上平声部 四支
诒	《平水韵》上声部 十贿、去声部 四寘、上平声部 四支
话	《平水韵》去声部 二十二祃、去声部 十卦；《词林正韵》仄声 第十部
诟	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
语	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
说	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》仄声 第三部、入声 第十八部
请	《平水韵》上声部 二十三梗、去声部 二十四敬；《词林正韵》仄声 第十一部
诹	《平水韵》上平声部 七虞、下平声部 十一尤
读	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》仄声 第十二部、入声 第十五部
诽	《平水韵》上声部 五尾、上平声部 五微、去声部 五未；《词林正韵》仄声 第三部、平声 第三部
调	《平水韵》下平声部 二萧、下平声部 十一尤、去声部 十八啸；《词林正韵》仄声 第八部、平声 第八部
谆	《平水韵》上平声部 十一真、去声部 十二震；《词林正韵》仄声 第六部
谇	《平水韵》入声部 入声四质、去声部 十一队、去声部 四寘
谖	《平水韵》上平声部 十三元、上声部 十三阮；《词林正韵》平声 第七部
谗	《平水韵》去声部 三十陷、下平声部 十五咸；《词林正韵》平声 第十四部
谞	《平水韵》上声部 六语、上平声部 六鱼
谩	《平水韵》去声部 十五翰、去声部 十六谏、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
谰	《平水韵》去声部 十五翰、上平声部 十四寒、上声部 十四旱；《词林正韵》仄声 第七部、平声 第七部
谳	《平水韵》入声部 入声九屑、去声部 十七霰、上声部 十六铣
谷	《平水韵》入声部 入声一屋、入声部 入声二沃；《词林正韵》入声 第十五部
豨	《平水韵》上声部 五尾、上平声部 五微
豸	《平水韵》上声部 九蟹、上声部 四纸；《词林正韵》仄声 第三部
豻	《平水韵》上平声部 十五删、去声部 十五翰、上平声部 十四寒
貆	《平水韵》上平声部 十三元、上平声部 十四寒
貌	《平水韵》入声部 入声三觉、去声部 十九效；《词林正韵》仄声 第八部
貤	《平水韵》去声部 四寘、上平声部 四支
贙	《平水韵》去声部 十七霰、上声部 十六铣
负	《平水韵》去声部 七遇、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
质	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
贲	《平水韵》上平声部 十三元、上平声部 十二文、去声部 四寘；《词林正韵》平声 第六部
贳	《平水韵》去声部 二十二祃、去声部 八霁；《词林正韵》仄声 第三部、仄声 第十部
费	《平水韵》去声部 五未、去声部 四寘；《词林正韵》仄声 第三部
贾	《平水韵》上声部 七麌、上声部 二十一马；《词林正韵》仄声 第十部、仄声 第四部
赈	《平水韵》上声部 十一轸、去声部 十二震；《词林正韵》仄声 第六部
赉	《平水韵》去声部 九泰、去声部 十一队；《词林正韵》仄声 第五部
赍	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
赣	《平水韵》去声部 一送、上声部 二十七感、去声部 二十八勘；《词林正韵》仄声 第一部
走	《平水韵》上声部 二十五有、去声部 二十六宥；《词林正韵》仄声 第十二部
趁	《平水韵》去声部 十二震、上声部 十六铣；《词林正韵》仄声 第六部
越	《平水韵》入声部 入声七曷、入声部 入声六月；《词林正韵》入声 第十八部
趣	《平水韵》去声部 七遇、上声部 二十五有、入声部 入声二沃；《词林正韵》仄声 第四部
趱	《平水韵》去声部 十五翰、上声部 十四旱
足	《平水韵》去声部 七遇、入声部 入声二沃；《词林正韵》入声 第十五部
趵	《平水韵》入声部 入声三觉、入声部 入声十药、去声部 十九效
趹	《平水韵》入声部 入声九屑、去声部 八霁
趼	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣
跂	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
跃	《平水韵》入声部 入声三觉、入声部 入声十药；《词林正韵》入声 第十六部
跛	《平水韵》上声部 二十哿、去声部 四寘；《词林正韵》仄声 第三部、仄声 第九部
跞	《平水韵》入声部 入声三觉、入声部 入声十二锡、入声部 入声十药
跣	《平水韵》下平声部 一先、上声部 十六铣；《词林正韵》仄声 第七部
跧	《平水韵》下平声部 一先、上平声部 十五删
跫	《平水韵》上平声部 三江、上平声部 二冬、入声部 入声二沃；《词林正韵》平声 第一部
跲	《平水韵》入声部 入声十七洽、入声部 入声十五合、入声部 入声十四缉
跳	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
跸	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
踔	《平水韵》入声部 入声三觉、去声部 十九效
踖	《平水韵》入声部 入声十一陌、入声部 入声十药
踣	《平水韵》入声部 入声十三职、下平声部 十一尤
踦	《平水韵》去声部 四寘、上平声部 四支、上声部 四纸
踧	《平水韵》入声部 入声一屋、入声部 入声十二锡
踬	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
踵	《平水韵》去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部
蹂	《平水韵》上声部 二十五有、去声部 二十六宥、下平声部 十一尤；《词林正韵》仄声 第十二部、平声 第十二部
蹇	《平水韵》上平声部 十三元、上声部 十三阮、上声部 十六铣；《词林正韵》仄声 第七部
蹉	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》平声 第九部
蹶	《平水韵》入声部 入声六月、去声部 八霁；《词林正韵》入声 第十八部
躅	《平水韵》入声部 入声三觉、入声部 入声二沃；《词林正韵》入声 第十五部
躇	《平水韵》入声部 入声十药、上平声部 六鱼；《词林正韵》入声 第十六部、平声 第四部
軥	《平水韵》上平声部 七虞、下平声部 十一尤
軿	《平水韵》下平声部 一先、下平声部 九青
輚	《平水韵》上声部 十五潸、去声部 十六谏
輠	《平水韵》上声部 二十一马、上声部 二十哿
轗	《平水韵》上声部 二十七感、去声部 二十八勘
轘	《平水韵》上平声部 十五删、去声部 十六谏
车	《平水韵》上平声部 六鱼、下平声部 六麻；《词林正韵》平声 第十部、平声 第四部
轪	《平水韵》去声部 九泰、去声部 八霁
转	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
轲	《平水韵》去声部 二十一个、上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
轶	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十七部、入声 第十八部
轹	《平水韵》入声部 入声十二锡；《词林正韵》入声 第十七部、入声 第十六部
轻	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第十一部
载	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部
轿	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》仄声 第八部
较	《平水韵》入声部 入声三觉、去声部 十九效；《词林正韵》仄声 第八部
辉	《平水韵》上平声部 五微、上平声部 十三元、上平声部 十二文；《词林正韵》平声 第三部
辐	《平水韵》去声部 二十六宥、入声部 入声一屋；《词林正韵》入声 第十五部
辒	《平水韵》上平声部 十三元、上平声部 十二文
输	《平水韵》上平声部 七虞、去声部 七遇；《词林正韵》平声 第四部
辗	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
过	《平水韵》去声部 二十一个、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
迋	《平水韵》去声部 二十三漾、上声部 二十二养
迎	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
近	《平水韵》去声部 十三问、上声部 十二吻、去声部 四寘；《词林正韵》仄声 第六部
迕	《平水韵》去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部
还	《平水韵》下平声部 一先、上平声部 十五删；《词林正韵》平声 第七部
远	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第七部
迟	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
迤	《平水韵》上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
迦	《平水韵》下平声部 五歌、下平声部 六麻；《词林正韵》平声 第九部、平声 第十部
迮	《平水韵》入声部 入声十一陌、入声部 入声十药
追	《平水韵》上平声部 十灰、上平声部 四支；《词林正韵》平声 第三部
适	《平水韵》入声部 入声七曷、入声部 入声十一陌、入声部 入声十二锡；《词林正韵》入声 第十七部
选	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
递	《平水韵》上声部 八荠、去声部 八霁；《词林正韵》仄声 第三部
造	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
逢	《平水韵》上平声部 一东、上平声部 三江、上平声部 二冬；《词林正韵》平声 第一部
逭	《平水韵》去声部 十五翰、上声部 十四旱
逮	《平水韵》去声部 八霁、去声部 十一队；《词林正韵》仄声 第三部、仄声 第五部
逴	《平水韵》入声部 入声三觉、入声部 入声十药
逻	《平水韵》去声部 二十一个、上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部
逼	《平水韵》入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十七部
遁	《平水韵》上声部 十三阮、去声部 十四愿；《词林正韵》仄声 第六部
遗	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
遣	《平水韵》去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部
邅	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣；《词林正韵》仄声 第七部、平声 第七部
邋	《平水韵》入声部 入声十五合、入声部 入声十六叶；《词林正韵》入声 第十九部
那	《平水韵》去声部 二十一个、上声部 二十一马、上声部 二十哿、下平声部 五歌；《词林正韵》仄声 第九部、仄声 第十部
邬	《平水韵》上平声部 七虞、上声部 七麌
邯	《平水韵》下平声部 十三覃；《词林正韵》平声 第七部、平声 第十四部
邲	《平水韵》入声部 入声四质、去声部 四寘
邴	《平水韵》上声部 二十三梗、去声部 二十四敬
邺	《平水韵》入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
郁	《平水韵》入声部 入声一屋、入声部 入声五物；《词林正韵》入声 第十五部、入声 第十八部
郜	《平水韵》去声部 二十号、入声部 入声二沃
郤	《平水韵》入声部 入声十一陌、入声部 入声十药
部	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第四部
鄗	《平水韵》下平声部 三肴、入声部 入声十药、上声部 十九皓
鄞	《平水韵》上平声部 十一真、上平声部 十二文
鄢	《平水韵》下平声部 一先、上声部 十三阮
酂	《平水韵》去声部 十五翰、上声部 十四旱
酏	《平水韵》上平声部 四支、上声部 四纸
酝	《平水韵》去声部 十三问、上声部 十二吻；《词林正韵》仄声 第六部
酤	《平水韵》上平声部 七虞、去声部 七遇、上声部 七麌；《词林正韵》仄声 第四部、平声 第四部
酹	《平水韵》去声部 九泰、去声部 十一队；《词林正韵》仄声 第三部
酺	《平水韵》上平声部 七虞、去声部 七遇
酾	《平水韵》上平声部 四支、上声部 四纸
醅	《平水韵》去声部 二十七沁、上平声部 十灰；《词林正韵》平声 第三部
醊	《平水韵》入声部 入声九屑、去声部 八霁
醍	《平水韵》上声部 八荠、上平声部 八齐；《词林正韵》平声 第三部
醒	《平水韵》下平声部 九青、去声部 二十五径、上声部 二十四迥；《词林正韵》仄声 第十一部、平声 第十一部
醟	《平水韵》去声部 二十四敬、下平声部 八庚
醰	《平水韵》上声部 二十七感、去声部 二十八勘、下平声部 十三覃
醵	《平水韵》入声部 入声十药、去声部 六御、上平声部 六鱼；《词林正韵》入声 第十六部、平声 第四部
醹	《平水韵》上平声部 七虞、上声部 七麌
采	《平水韵》去声部 十一队、上声部 十贿；《词林正韵》仄声 第五部
里	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
重	《平水韵》上平声部 二冬、去声部 二宋、上声部 二肿；《词林正韵》仄声 第一部、平声 第一部
量	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
釭	《平水韵》上平声部 一东、上平声部 三江
釱	《平水韵》去声部 九泰、去声部 八霁
鋘	《平水韵》上平声部 七虞、下平声部 六麻
錍	《平水韵》上平声部 八齐、上平声部 四支
